#{"t_start": 1753646256.0479531, "env_id": "None"}
r,l,t
14.0,14,0.667895
11.0,11,0.670646
42.0,42,0.680845
17.0,17,0.684947
16.0,16,0.688903
19.0,19,0.693403
34.0,34,0.701433
20.0,20,0.706231
17.0,17,0.710305
30.0,30,0.717457
29.0,29,0.724322
17.0,17,0.728403
30.0,30,0.735536
31.0,31,0.742943
21.0,21,0.747967
37.0,37,0.756729
15.0,15,0.760433
16.0,16,0.76425
42.0,42,0.774036
21.0,21,0.779012
15.0,15,0.782656
27.0,27,0.789129
15.0,15,0.792727
29.0,29,0.799566
21.0,21,0.804674
18.0,18,0.808927
14.0,14,0.812369
53.0,53,0.824756
14.0,14,0.828219
11.0,11,0.830882
76.0,76,0.848565
50.0,50,0.861159
21.0,21,0.866184
12.0,12,0.86912
12.0,12,0.872079
11.0,11,0.87482
13.0,13,0.877942
15.0,15,0.88152
18.0,18,0.885822
22.0,22,0.89092
11.0,11,0.893738
21.0,21,0.898702
17.0,17,0.902752
24.0,24,0.908398
15.0,15,0.912054
21.0,21,0.916972
14.0,14,0.920255
31.0,31,0.927492
32.0,32,0.934797
11.0,11,0.937432
11.0,11,0.940085
27.0,27,0.946343
9.0,9,0.948643
12.0,12,0.951544
17.0,17,0.955537
23.0,23,0.960963
19.0,19,0.965415
19.0,19,0.969891
15.0,15,0.973513
49.0,49,0.984853
15.0,15,0.988536
18.0,18,0.992832
50.0,50,1.004308
16.0,16,1.008155
23.0,23,1.013601
16.0,16,1.017368
35.0,35,1.025389
17.0,17,1.029505
21.0,21,1.034485
43.0,43,1.044425
15.0,15,1.048022
17.0,17,1.052111
20.0,20,1.056892
21.0,21,1.061808
11.0,11,1.064526
9.0,9,1.066629
15.0,15,1.07025
24.0,24,1.075933
24.0,24,1.081536
13.0,13,1.084754
16.0,16,1.088536
16.0,16,1.092396
35.0,35,1.100481
17.0,17,1.104578
10.0,10,1.106985
13.0,13,1.11019
11.0,11,1.112847
16.0,16,1.116626
29.0,29,1.123486
13.0,13,1.126602
13.0,13,1.129696
18.0,18,1.133901
16.0,16,1.137688
66.0,66,1.668949
20.0,20,1.673745
16.0,16,1.677639
29.0,29,1.684418
32.0,32,1.691909
28.0,28,1.698524
29.0,29,1.706735
25.0,25,1.712679
17.0,17,1.716766
18.0,18,1.721078
46.0,46,1.731697
40.0,40,1.741067
26.0,26,1.747159
16.0,16,1.751008
37.0,37,1.759629
28.0,28,1.766138
18.0,18,1.770498
10.0,10,1.772949
15.0,15,1.776552
66.0,66,1.791776
21.0,21,1.79685
15.0,15,1.800531
14.0,14,1.803888
13.0,13,1.806988
13.0,13,1.810031
42.0,42,1.819847
15.0,15,1.823451
32.0,32,1.830825
23.0,23,1.836211
13.0,13,1.839376
13.0,13,1.842447
21.0,21,1.847351
23.0,23,1.85266
22.0,22,1.857894
17.0,17,1.861953
31.0,31,1.869186
45.0,45,1.879696
20.0,20,1.884371
16.0,16,1.888183
31.0,31,1.89536
24.0,24,1.90105
26.0,26,1.907175
15.0,15,1.910741
17.0,17,1.914712
12.0,12,1.917647
55.0,55,1.930241
18.0,18,1.93453
46.0,46,1.94516
15.0,15,1.948779
24.0,24,1.954278
21.0,21,1.959197
21.0,21,1.964058
16.0,16,1.96783
49.0,49,1.979118
43.0,43,1.989078
37.0,37,1.997646
32.0,32,2.005201
18.0,18,2.009427
24.0,24,2.014918
11.0,11,2.017608
20.0,20,2.022301
30.0,30,2.029209
16.0,16,2.032972
38.0,38,2.041743
38.0,38,2.050425
29.0,29,2.057124
15.0,15,2.060749
26.0,26,2.06671
28.0,28,2.073407
66.0,66,2.088504
67.0,67,2.103905
17.0,17,2.107836
18.0,18,2.112075
26.0,26,2.118052
40.0,40,2.12719
51.0,51,2.139755
51.0,51,2.651577
41.0,41,2.661123
17.0,17,2.665119
20.0,20,2.669909
23.0,23,2.675354
56.0,56,2.688393
15.0,15,2.692027
30.0,30,2.699293
141.0,141,2.731814
25.0,25,2.737625
26.0,26,2.743836
46.0,46,2.754377
15.0,15,2.757905
30.0,30,2.764995
20.0,20,2.769779
33.0,33,2.777586
106.0,106,2.801991
12.0,12,2.804901
30.0,30,2.811902
46.0,46,2.822562
22.0,22,2.827775
39.0,39,2.836754
36.0,36,2.845101
71.0,71,2.861515
20.0,20,2.866313
23.0,23,2.871805
23.0,23,2.877156
49.0,49,2.8885
54.0,54,2.901036
30.0,30,2.908137
53.0,53,2.920416
18.0,18,2.924671
19.0,19,2.929285
36.0,36,2.937669
32.0,32,2.945635
58.0,58,2.959317
33.0,33,2.966996
14.0,14,2.970343
23.0,23,2.975849
68.0,68,2.991881
15.0,15,2.995492
12.0,12,2.998319
45.0,45,3.008678
29.0,29,3.015506
25.0,25,3.02143
33.0,33,3.02923
35.0,35,3.037388
25.0,25,3.043192
80.0,80,3.06182
17.0,17,3.065927
24.0,24,3.071579
11.0,11,3.07429
51.0,51,3.086011
61.0,61,3.100582
37.0,37,3.109082
26.0,26,3.115205
27.0,27,3.121582
146.0,146,3.652228
21.0,21,3.657302
46.0,46,3.668051
41.0,41,3.677702
36.0,36,3.686153
67.0,67,3.701674
116.0,116,3.728384
49.0,49,3.73979
22.0,22,3.7451
57.0,57,3.758331
25.0,25,3.76439
133.0,133,3.795057
122.0,122,3.823263
18.0,18,3.827679
88.0,88,3.848083
36.0,36,3.856479
48.0,48,3.86767
33.0,33,3.875405
25.0,25,3.881373
16.0,16,3.885348
89.0,89,3.90596
99.0,99,3.928837
26.0,26,3.934904
25.0,25,3.940979
32.0,32,3.948556
26.0,26,3.954696
65.0,65,3.969934
25.0,25,3.97586
28.0,28,3.982387
53.0,53,3.99462
51.0,51,4.006594
114.0,114,4.033191
63.0,63,4.04822
38.0,38,4.057281
88.0,88,4.077703
79.0,79,4.096159
44.0,44,4.606477
52.0,52,4.61858
87.0,87,4.63864
71.0,71,4.654855
60.0,60,4.668768
52.0,52,4.680776
42.0,42,4.690439
23.0,23,4.695874
59.0,59,4.709377
52.0,52,4.721529
73.0,73,4.738341
45.0,45,4.748651
36.0,36,4.757064
105.0,105,4.781278
26.0,26,4.787261
189.0,189,4.830672
62.0,62,4.844977
103.0,103,4.868572
112.0,112,4.894175
93.0,93,4.915648
165.0,165,4.953563
44.0,44,4.963936
72.0,72,4.980504
186.0,186,5.023659
125.0,125,5.052358
76.0,76,5.070005
